Candidate ID,Question number,Variable type,Interaction number,Variable name,Variable type,Variable cardinality,Variable default value,Variable value
150683,1,response,1,RESPONSE,file,single,,[REDACTED]
150683,1,outcome,1,SUBSCORE-1,float,single,,1
150683,1,outcome,1,SUBSCORE-2,float,single,,1
150683,1,outcome,1,SUBSCORE-3,float,single,,1
150683,1,outcome,1,SUBSCORE-4,float,single,,1
150683,1,outcome,1,SUBSCORE-5,float,single,,1
150683,1,outcome,1,SUBSCORE-6,float,single,,1
150683,1,outcome,1,SUBSCORE-7,float,single,,1
150683,1,outcome,1,SUBSCORE-8,float,single,,1
150683,1,outcome,1,SUBSCORE-9,float,single,,1
150683,1,outcome,1,SUBSCORE-10,float,single,,1
150683,1,outcome,1,SUBSCORE-11,float,single,,1
150683,1,outcome,1,SUBSCORE-12,float,single,,1
150683,1,outcome,1,SUBSCORE-13,float,single,,1
150683,1,outcome,1,SUBSCORE-14,float,single,,0
150683,1,outcome,1,SUBSCORE-15,float,single,,1
150683,1,outcome,1,SUBSCORE-16,float,single,,1
150683,1,outcome,1,SUBSCORE-17,float,single,,0
150683,1,outcome,1,SUBSCORE-18,float,single,,1
150683,1,outcome,1,SUBSCORE-19,float,single,,0
150683,1,outcome,1,SUBSCORE-20,float,single,,0
150683,1,outcome,1,SUBSCORE-21,float,single,,0
150683,1,outcome,1,SUBSCORE-22,float,single,,1
150683,1,outcome,1,SUBSCORE-23,float,single,,1
150683,1,outcome,1,SUBSCORE-24,float,single,,1
150683,1,outcome,1,SUBSCORE-25,float,single,,1
150683,1,outcome,1,SUBSCORE-26,float,single,,1
150683,1,outcome,1,SUBSCORE-27,float,single,,1
150683,1,outcome,1,SUBSCORE-28,float,single,,1
150683,1,outcome,1,SUBSCORE-29,float,single,,1
150683,1,outcome,1,SUBSCORE-30,float,single,,1
150683,1,outcome,1,SUBSCORE-31,float,single,,1
150683,1,outcome,1,SUBSCORE-32,float,single,,0
150683,1,outcome,1,SUBSCORE-33,float,single,,1
150683,1,outcome,1,SUBSCORE-34,float,single,,1
150683,1,outcome,1,SUBSCORE-35,float,single,,1
150683,1,outcome,1,SUBSCORE-36,float,single,,1
150683,1,outcome,1,SUBSCORE-37,float,single,,1
150683,1,outcome,1,SUBSCORE-38,float,single,,0.5
150683,1,outcome,1,SUBSCORE-39,float,single,,0.5
150683,1,outcome,1,SUBSCORE-40,float,single,,0.5
150683,1,outcome,1,PASSED,boolean,single,0,false
150683,1,outcome,1,MAXSCORE,float,single,40,40
150683,1,template,1,RESPONSE_CORRECTRESPONSE_POINTS,float,single,40,40
150683,1,template,1,RESPONSE-ACTION,float,single,,40
150683,1,,0,SCORE,float,single,,32.5
150683,1,,0,MAX_SCORE,float,single,,40
150683,1,,0,COMPLETION_STATUS,identifier,single,,completed
150246,1,response,1,RESPONSE,file,single,,[REDACTED]
150246,1,outcome,1,SUBSCORE-1,float,single,,1
150246,1,outcome,1,SUBSCORE-2,float,single,,1
150246,1,outcome,1,SUBSCORE-3,float,single,,1
150246,1,outcome,1,SUBSCORE-4,float,single,,1
150246,1,outcome,1,SUBSCORE-5,float,single,,1
150246,1,outcome,1,SUBSCORE-6,float,single,,1
150246,1,outcome,1,SUBSCORE-7,float,single,,1
150246,1,outcome,1,SUBSCORE-8,float,single,,1
150246,1,outcome,1,SUBSCORE-9,float,single,,1
150246,1,outcome,1,SUBSCORE-10,float,single,,1
150246,1,outcome,1,SUBSCORE-11,float,single,,1
150246,1,outcome,1,SUBSCORE-12,float,single,,1
150246,1,outcome,1,SUBSCORE-13,float,single,,1
150246,1,outcome,1,SUBSCORE-14,float,single,,1
150246,1,outcome,1,SUBSCORE-15,float,single,,1
150246,1,outcome,1,SUBSCORE-16,float,single,,1
150246,1,outcome,1,SUBSCORE-17,float,single,,1
150246,1,outcome,1,SUBSCORE-18,float,single,,1
150246,1,outcome,1,SUBSCORE-19,float,single,,0
150246,1,outcome,1,SUBSCORE-20,float,single,,0
150246,1,outcome,1,SUBSCORE-21,float,single,,0
150246,1,outcome,1,SUBSCORE-22,float,single,,1
150246,1,outcome,1,SUBSCORE-23,float,single,,1
150246,1,outcome,1,SUBSCORE-24,float,single,,1
150246,1,outcome,1,SUBSCORE-25,float,single,,1
150246,1,outcome,1,SUBSCORE-26,float,single,,1
150246,1,outcome,1,SUBSCORE-27,float,single,,1
150246,1,outcome,1,SUBSCORE-28,float,single,,1
150246,1,outcome,1,SUBSCORE-29,float,single,,1
150246,1,outcome,1,SUBSCORE-30,float,single,,1
150246,1,outcome,1,SUBSCORE-31,float,single,,1
150246,1,outcome,1,SUBSCORE-32,float,single,,1
150246,1,outcome,1,SUBSCORE-33,float,single,,1
150246,1,outcome,1,SUBSCORE-34,float,single,,1
150246,1,outcome,1,SUBSCORE-35,float,single,,1
150246,1,outcome,1,SUBSCORE-36,float,single,,1
150246,1,outcome,1,SUBSCORE-37,float,single,,1
150246,1,outcome,1,SUBSCORE-38,float,single,,0
150246,1,outcome,1,SUBSCORE-39,float,single,,0
150246,1,outcome,1,SUBSCORE-40,float,single,,0
150246,1,outcome,1,PASSED,boolean,single,0,false
150246,1,outcome,1,MAXSCORE,float,single,40,40
150246,1,template,1,RESPONSE_CORRECTRESPONSE_POINTS,float,single,40,40
150246,1,template,1,RESPONSE-ACTION,float,single,,40
150246,1,,0,SCORE,float,single,,34
150246,1,,0,MAX_SCORE,float,single,,40
150246,1,,0,COMPLETION_STATUS,identifier,single,,completed
150402,1,response,1,RESPONSE,file,single,,[REDACTED]
150402,1,outcome,1,SUBSCORE-1,float,single,,1
150402,1,outcome,1,SUBSCORE-2,float,single,,1
150402,1,outcome,1,SUBSCORE-3,float,single,,1
150402,1,outcome,1,SUBSCORE-4,float,single,,1
150402,1,outcome,1,SUBSCORE-5,float,single,,0
150402,1,outcome,1,SUBSCORE-6,float,single,,1
150402,1,outcome,1,SUBSCORE-7,float,single,,1
150402,1,outcome,1,SUBSCORE-8,float,single,,1
150402,1,outcome,1,SUBSCORE-9,float,single,,1
150402,1,outcome,1,SUBSCORE-10,float,single,,1
150402,1,outcome,1,SUBSCORE-11,float,single,,1
150402,1,outcome,1,SUBSCORE-12,float,single,,1
150402,1,outcome,1,SUBSCORE-13,float,single,,1
150402,1,outcome,1,SUBSCORE-14,float,single,,1
150402,1,outcome,1,SUBSCORE-15,float,single,,1
150402,1,outcome,1,SUBSCORE-16,float,single,,1
150402,1,outcome,1,SUBSCORE-17,float,single,,0
150402,1,outcome,1,SUBSCORE-18,float,single,,1
150402,1,outcome,1,SUBSCORE-19,float,single,,0
150402,1,outcome,1,SUBSCORE-20,float,single,,0
150402,1,outcome,1,SUBSCORE-21,float,single,,0
150402,1,outcome,1,SUBSCORE-22,float,single,,0
150402,1,outcome,1,SUBSCORE-23,float,single,,0
150402,1,outcome,1,SUBSCORE-24,float,single,,0
150402,1,outcome,1,SUBSCORE-25,float,single,,0
150402,1,outcome,1,SUBSCORE-26,float,single,,0
150402,1,outcome,1,SUBSCORE-27,float,single,,0
150402,1,outcome,1,SUBSCORE-28,float,single,,0
150402,1,outcome,1,SUBSCORE-29,float,single,,0
150402,1,outcome,1,SUBSCORE-30,float,single,,0
150402,1,outcome,1,SUBSCORE-31,float,single,,0
150402,1,outcome,1,SUBSCORE-32,float,single,,0
150402,1,outcome,1,SUBSCORE-33,float,single,,1
150402,1,outcome,1,SUBSCORE-34,float,single,,1
150402,1,outcome,1,SUBSCORE-35,float,single,,0
150402,1,outcome,1,SUBSCORE-36,float,single,,0
150402,1,outcome,1,SUBSCORE-37,float,single,,1
150402,1,outcome,1,SUBSCORE-38,float,single,,1
150402,1,outcome,1,SUBSCORE-39,float,single,,0
150402,1,outcome,1,SUBSCORE-40,float,single,,1
150402,1,outcome,1,PASSED,boolean,single,0,false
150402,1,outcome,1,MAXSCORE,float,single,40,40
150402,1,template,1,RESPONSE_CORRECTRESPONSE_POINTS,float,single,40,40
150402,1,template,1,RESPONSE-ACTION,float,single,,40
150402,1,,0,SCORE,float,single,,21
150402,1,,0,MAX_SCORE,float,single,,40
150402,1,,0,COMPLETION_STATUS,identifier,single,,completed
148622,1,response,1,RESPONSE,file,single,,[REDACTED]
148622,1,outcome,1,SUBSCORE-1,float,single,,1
148622,1,outcome,1,SUBSCORE-2,float,single,,1
148622,1,outcome,1,SUBSCORE-3,float,single,,1
148622,1,outcome,1,SUBSCORE-4,float,single,,1
148622,1,outcome,1,SUBSCORE-5,float,single,,1
148622,1,outcome,1,SUBSCORE-6,float,single,,1
148622,1,outcome,1,SUBSCORE-7,float,single,,1
148622,1,outcome,1,SUBSCORE-8,float,single,,1
148622,1,outcome,1,SUBSCORE-9,float,single,,1
148622,1,outcome,1,SUBSCORE-10,float,single,,1
148622,1,outcome,1,SUBSCORE-11,float,single,,1
148622,1,outcome,1,SUBSCORE-12,float,single,,1
148622,1,outcome,1,SUBSCORE-13,float,single,,1
148622,1,outcome,1,SUBSCORE-14,float,single,,1
148622,1,outcome,1,SUBSCORE-15,float,single,,1
148622,1,outcome,1,SUBSCORE-16,float,single,,0
148622,1,outcome,1,SUBSCORE-17,float,single,,1
148622,1,outcome,1,SUBSCORE-18,float,single,,1
148622,1,outcome,1,SUBSCORE-19,float,single,,0
148622,1,outcome,1,SUBSCORE-20,float,single,,0
148622,1,outcome,1,SUBSCORE-21,float,single,,0
148622,1,outcome,1,SUBSCORE-22,float,single,,1
148622,1,outcome,1,SUBSCORE-23,float,single,,1
148622,1,outcome,1,SUBSCORE-24,float,single,,1
148622,1,outcome,1,SUBSCORE-25,float,single,,1
148622,1,outcome,1,SUBSCORE-26,float,single,,1
148622,1,outcome,1,SUBSCORE-27,float,single,,1
148622,1,outcome,1,SUBSCORE-28,float,single,,1
148622,1,outcome,1,SUBSCORE-29,float,single,,1
148622,1,outcome,1,SUBSCORE-30,float,single,,0
148622,1,outcome,1,SUBSCORE-31,float,single,,0
148622,1,outcome,1,SUBSCORE-32,float,single,,0
148622,1,outcome,1,SUBSCORE-33,float,single,,1
148622,1,outcome,1,SUBSCORE-34,float,single,,1
148622,1,outcome,1,SUBSCORE-35,float,single,,0
148622,1,outcome,1,SUBSCORE-36,float,single,,1
148622,1,outcome,1,SUBSCORE-37,float,single,,0
148622,1,outcome,1,SUBSCORE-38,float,single,,0
148622,1,outcome,1,SUBSCORE-39,float,single,,0
148622,1,outcome,1,SUBSCORE-40,float,single,,0
148622,1,outcome,1,PASSED,boolean,single,0,false
148622,1,outcome,1,MAXSCORE,float,single,40,40
148622,1,template,1,RESPONSE_CORRECTRESPONSE_POINTS,float,single,40,40
148622,1,template,1,RESPONSE-ACTION,float,single,,40
148622,1,,0,SCORE,float,single,,28
148622,1,,0,MAX_SCORE,float,single,,40
148622,1,,0,COMPLETION_STATUS,identifier,single,,completed
149618,1,response,1,RESPONSE,file,single,,[REDACTED]
149618,1,outcome,1,SUBSCORE-1,float,single,,1
149618,1,outcome,1,SUBSCORE-2,float,single,,1
149618,1,outcome,1,SUBSCORE-3,float,single,,1
149618,1,outcome,1,SUBSCORE-4,float,single,,1
149618,1,outcome,1,SUBSCORE-5,float,single,,1
149618,1,outcome,1,SUBSCORE-6,float,single,,1
149618,1,outcome,1,SUBSCORE-7,float,single,,1
149618,1,outcome,1,SUBSCORE-8,float,single,,1
149618,1,outcome,1,SUBSCORE-9,float,single,,1
149618,1,outcome,1,SUBSCORE-10,float,single,,1
149618,1,outcome,1,SUBSCORE-11,float,single,,1
