Candidate ID,q1,q1_MAX
142801,36,40
154141,21.5,
154153,25,
142923,28,
154686,8.5,
152450,35,
152186,36,
154282,34,
142095,32.5,
154662,19.5,
148588,24,
153706,28.5,
150433,28,
141772,36.5,
153904,35.5,
154948,23.5,
150065,35,
154809,21.5,
152198,30,
153710,25,
154362,32,
153713,29,
154852,24,
153474,19,
154753,26.5,
153148,31.5,
154944,16,
80417,35,
152612,31,
152522,39,
155236,30,
152444,37,
144512,29,
68989,12.5,
152654,31,
154229,26.5,
149844,25,
155024,35.5,
153251,35,
154634,33.5,
128998,21.5,
153281,20,
154305,18.5,
152988,27,
153271,18.5,
131193,29.5,
153230,29.5,
153297,34,
155007,26.5,
153458,30,
150411,23,
153234,17.5,
146206,32,
142146,20,
153428,29,
152716,21.5,
153590,23.5,
127253,34.5,
124558,28,
98389,19,
154173,28,
153792,38.5,
155080,32,
154500,28.5,
153850,27,
154286,22,
153487,28.5,
152260,29,
154689,13.5,
153736,25.5,
152947,33.5,
121464,30,
147612,21.5,
